dimacs9-E DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5221166610717773, 0.003855
douban DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.2134687900543213, 0.00022
facebook-wosn-wall DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.21383929252624512, 0.000311
github DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.21738386154174805, 0.000245
komarix-imdb DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.27849531173706055, 0.000423
moreno_blogs DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.19788551330566406, 0.000259
opsahl-usairport DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.20293259620666504, 0.000257
patentcite DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.6984913349151611, 0.003038
petster-friendships-dog DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.42238521575927734, 0.00083
roadNet-CA DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.327960729598999, 0.001836
subelj_cora DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.20917701721191406, 0.000273
sx-mathoverflow DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.21516728401184082, 0.000257
youtube-groupmemberships DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.21708321571350098, 0.00023
sx-stackoverflow DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 1.1438822746276855, 0.00366
dblp-cite DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.19999027252197266, 0.000254
dbpedia-team DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.2561018466949463, 0.000532
dimacs9-E DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.5139205455780029, 0.003854
douban DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.21338200569152832, 0.000216
facebook-wosn-wall DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.21062326431274414, 0.000287
github DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.21706247329711914, 0.000335
komarix-imdb DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.2903106212615967, 0.000387
moreno_blogs DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.20035457611083984, 0.000267
opsahl-usairport DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.20461225509643555, 0.00026
patentcite DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.698063850402832, 0.002887
petster-friendships-dog DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.4325697422027588, 0.000862
roadNet-CA DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.32453060150146484, 0.001848
subelj_cora DISABLED, EDGE_ONLY, ENABLED, 15, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.19988584518432617, 0.000287
