facebook-wosn-wall ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.1711733341217041, 7.8e-05
github ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.21025395393371582, 0.000522
komarix-imdb ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.22219347953796387, 0.000519
moreno_blogs ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.1633913516998291, 0.000214
opsahl-usairport ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.17822980880737305, 0.000221
patentcite ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.4198932647705078, 0.000122
petster-friendships-dog ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.2671341896057129, 8e-05
roadNet-CA ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.22878360748291016, 0.000445
subelj_cora ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.17539525032043457, 0.000739
sx-mathoverflow ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.17070221900939941, 0.000246
youtube-groupmemberships ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.1942901611328125, 0.000477
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 17, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.2013392448425293, 0.000641
dimacs9-E ENABLED, EDGE_ONLY, ENABLED, 17, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.4708867073059082, 0.000106
douban ENABLED, EDGE_ONLY, ENABLED, 17, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.21494030952453613, 9.2e-05
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 17, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.204941987991333, 6.5e-05
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 17, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.30272769927978516, 0.00256
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 17, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.20226120948791504, 0.00023
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 17, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.21764397621154785, 0.001152
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 17, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.42049407958984375, 7e-05
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 17, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.2072582244873047, 0.000359
